archivo,etiqueta,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,ZCR,RMS,Centroid,Bandwidth,Rolloff,Flatness,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12,Contrast_1,Contrast_2,Contrast_3,Contrast_4,Contrast_5,Contrast_6,Contrast_7,Tonnetz_1,Tonnetz_2,Tonnetz_3,Tonnetz_4,Tonnetz_5,Tonnetz_6,Tempo
segmento_0.wav,100m,-247.7364,127.63354,18.518553,39.489006,-1.085951,12.930056,6.1594763,8.71223,8.153174,-0.9862957,0.68716574,2.562268,-0.6079609,0.030911828415023202,0.048614856,3064.743713116776,4559.426450846253,7339.424915712007,0.008979769,0.8455582,0.6592097,0.4566324,0.3489286,0.3057042,0.29485214,0.32889608,0.3833259,0.4441323,0.5257342,0.65156317,0.7779438,10.867831125815275,9.657264046517023,11.444114001737004,13.344742527969345,12.813723087440058,13.805376678637455,18.909255628843297,0.012858661873559517,-0.001083354967325528,0.036750096492814674,0.030813480770590942,-0.008017373815591311,0.004544221819864657,[101.33272059]
segmento_1.wav,100m,-248.19095,128.89445,17.559183,38.886047,-1.0615988,12.864421,5.609466,8.224797,8.606527,-1.0539359,0.55624115,2.1187885,-0.8951878,0.030882939385150812,0.050513532,3041.6794854085374,4494.6979084435925,7110.453523781903,0.009667118,0.7414443,0.61110306,0.46872658,0.38836122,0.36635414,0.3923964,0.42537874,0.47195977,0.54283786,0.66403586,0.7175146,0.7619526,10.548907739574192,9.358629936179812,11.960468749862278,13.507307694445531,12.845176342064269,13.713353586518874,19.248126226104095,-0.007107695642172222,-0.0019146382203637975,0.0006086838014609637,-0.0057202754261327276,-0.00019106960660362736,0.0019954680848711702,[151.99908088]
segmento_10.wav,100m,-237.04599,129.37595,5.659583,33.71954,-5.406977,12.080291,6.5109167,5.0121584,5.6613884,-1.5000408,1.6833363,3.3587725,-1.6436714,0.03959213221432715,0.03955784,3230.7811151352903,4477.48212148872,7453.935592191126,0.012250929,0.6668582,0.6456917,0.6715692,0.6454727,0.5740063,0.5644237,0.5513147,0.538763,0.5491493,0.62719804,0.67825013,0.6910338,9.800959218427874,8.505807636707843,10.880926136229174,13.014581952700471,13.343602074108963,13.760338001902145,19.75483115222356,0.00988624406771376,0.016671236029277017,-0.026654851058900402,0.005958183450308387,0.005452442304280138,0.0023709406369644996,[139.67483108]
segmento_100.wav,100m,-196.97299,145.83798,6.1092296,28.846546,-2.8433115,9.209352,8.915108,5.6578827,3.2019162,-4.530681,-3.184845,0.9443034,-5.304711,0.032963515987529,0.07123495,2570.0664740959633,4107.870107246345,5754.636122842952,0.00473954,0.43391922,0.4542669,0.52143043,0.5258078,0.41181403,0.329451,0.25992364,0.24126814,0.3694626,0.5461165,0.63018924,0.5622909,10.031938365629571,9.467054899344616,14.458066316873001,15.099443005251997,14.28400208150463,14.20839759500147,19.04882665027787,-0.01964248228223376,-0.005272295959159645,-0.020588274010113945,-0.04704508875127228,0.005730412809620018,-0.008222020331126189,[93.96306818]
segmento_101.wav,100m,-200.44394,141.42755,5.698426,33.88223,-2.5630288,8.370439,9.12166,7.4025307,6.578798,-2.8046541,-2.8308241,1.87766,-5.49954,0.03348805013776102,0.06459932,2705.62215617443,4185.635830789833,6200.613240465487,0.005701658,0.5513857,0.44630486,0.41626152,0.40290886,0.32480237,0.28701994,0.31928736,0.6230098,0.8091272,0.5582071,0.5207562,0.5674379,9.747709936703997,8.883273027400255,14.538513542399048,15.126429370638492,13.74928989395136,14.387208916998503,19.63693762001882,-0.033117340419311546,0.03831166777386482,0.02702608845237675,-0.02396229188889312,0.025403140516596163,-0.017495950317688656,[101.33272059]
segmento_102.wav,100m,-192.91998,132.54044,9.749241,34.5334,-0.6367387,9.479456,6.5155506,4.401488,4.43562,-4.4893217,-3.5283537,-0.15317056,-3.5917068,0.03551141513196056,0.078515165,2971.874891408569,4450.083454915134,6821.054268325841,0.0072174473,0.5028308,0.46383744,0.45723772,0.46003935,0.38855422,0.3336348,0.32716167,0.39319125,0.47265017,0.58528346,0.59039545,0.5786034,9.603639788484157,10.109061369331615,13.847728812675323,13.790593587542554,13.50457333856286,14.241583269241184,19.064466340172416,0.007112288921549966,0.009786970159889274,-0.001149269218477046,-0.04571460292236,0.006688269180113995,-0.004156437285434535,[103.359375]
segmento_103.wav,100m,-184.0408,121.45803,13.065446,46.88971,1.5772363,11.998868,10.923646,2.3386881,6.0315423,-5.924436,-3.932854,-0.30676785,-4.0239105,0.04262717970562645,0.084089555,3263.985977525466,4543.919954265618,7284.018135513341,0.008400329,0.5759822,0.59635967,0.6111725,0.4881524,0.36513793,0.31576312,0.35618165,0.43030053,0.4951096,0.49213436,0.5461121,0.5849943,10.62246460341991,9.958846089489677,14.03808654438738,13.275828095499195,14.039632831205664,15.542625544470642,20.40461802868411,0.01930801177797068,-0.0020573089971153593,0.04513233452343849,-0.08552971313083084,-0.010871965823516702,-0.029061140693516656,[166.70866935]
segmento_104.wav,100m,-200.91463,127.97132,11.564736,42.130512,5.7070465,9.7635765,7.83123,3.922158,7.306292,-1.3785731,-3.1972892,2.0320787,-2.404728,0.03273580245794663,0.068928465,3047.661886950595,4547.698850385719,7109.379361677059,0.007059552,0.6425035,0.53763455,0.4489075,0.37564394,0.29756656,0.28926486,0.3529643,0.48865673,0.6235801,0.7174789,0.7727688,0.73594457,10.907471217769718,9.815696941104381,12.379940702054935,12.994473709499664,12.768072353788456,14.205926474831392,19.148632912591193,-0.03356040739702055,0.016021418125714587,0.015287996844545895,-0.10364328488802671,0.01993063861425891,-0.027812075941648248,[126.04801829]
segmento_105.wav,100m,-192.1464,127.44111,6.7402945,40.0759,6.839022,10.415851,8.703094,3.3956778,5.5085626,-3.151865,-1.5913763,3.9126909,-2.1621046,0.03662902407192575,0.06809337,3137.1471982663315,4563.6441605901355,7281.295259480134,0.008448153,0.64693993,0.5151521,0.43763247,0.35012725,0.32594958,0.35252967,0.4009829,0.5108887,0.6924451,0.7433693,0.80316263,0.7524523,10.785117702289856,9.124489480937026,12.5628126755929,13.192800724718511,12.965608734941457,14.547169329776297,19.262335836298178,-0.06595049440010436,0.026350262323771363,0.0019570660459742547,-0.1215783615106086,0.02772797631735168,-0.03338962607463836,[143.5546875]
segmento_106.wav,100m,-193.14711,129.41907,5.0145435,39.374268,5.440473,8.817456,6.8494544,2.0245306,6.415642,-6.3746305,-2.45346,3.9081304,-2.5064046,0.03721870015226218,0.064769715,3090.816960410896,4513.4193436458145,7099.811824789733,0.008029033,0.66136163,0.6836676,0.68135995,0.603792,0.45125648,0.40634528,0.4088645,0.37447703,0.4249584,0.5114041,0.5651883,0.6338831,10.182682008125497,8.915405008495238,12.58001622682367,13.157266168584844,13.10958744666256,14.546715027392535,19.255081577751717,-0.01577408806325646,-0.018304292752462568,-0.005443094700160329,-0.0813865623136515,0.005489155056562431,-0.019903013198539175,[123.046875]
